model_parameters,model_rank,auc_score_mean,auc_score_std,auc_score_cv
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 100, 'scale_pos_weight': 1, 'subsample': 1.0}",894,0.7896381384093328,0.014838367820580137,0.01879135150497027
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 100, 'scale_pos_weight': 5, 'subsample': 0.6}",601,0.7918470533409492,0.01582196460417724,0.01998108667251011
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 100, 'scale_pos_weight': 5, 'subsample': 0.8}",702,0.7911272714396326,0.014899112175283025,0.018832762708547217
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 100, 'scale_pos_weight': 5, 'subsample': 1.0}",978,0.788818638106663,0.01464032712695971,0.01855981390361122
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 100, 'scale_pos_weight': 10, 'subsample': 0.6}",803,0.7903955060603473,0.015707016920121934,0.01987235099350716
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 100, 'scale_pos_weight': 10, 'subsample': 0.8}",779,0.7906032123567712,0.014783515287115393,0.018699032657666606
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 100, 'scale_pos_weight': 10, 'subsample': 1.0}",1016,0.7884272313447691,0.014896666345580505,0.018894155038470993
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 50, 'scale_pos_weight': 1, 'subsample': 0.6}",1058,0.7878523979429692,0.014816059497777213,0.01880562848632684
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 50, 'scale_pos_weight': 1, 'subsample': 0.8}",1167,0.7860209548867778,0.014405663273854447,0.018327327260542956
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 50, 'scale_pos_weight': 1, 'subsample': 1.0}",1227,0.7846463554085528,0.01392549555159218,0.01774748006615209
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 50, 'scale_pos_weight': 5, 'subsample': 0.6}",1124,0.7867385561586503,0.014420605271023271,0.018329602837102183
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 50, 'scale_pos_weight': 5, 'subsample': 0.8}",1256,0.7840392336983265,0.013870558730014443,0.017691153878342004
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 50, 'scale_pos_weight': 5, 'subsample': 1.0}",1313,0.7823169579842193,0.013050726275522796,0.0166821467211325
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 50, 'scale_pos_weight': 10, 'subsample': 0.6}",1214,0.7849781549253927,0.013916003345333444,0.017727886130354892
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 50, 'scale_pos_weight': 10, 'subsample': 0.8}",1294,0.7827857333356335,0.012734972104717085,0.016268784115993508
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 50, 'scale_pos_weight': 10, 'subsample': 1.0}",1326,0.7819069463053973,0.012706381940640157,0.016250503977077214
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 100, 'scale_pos_weight': 1, 'subsample': 0.6}",440,0.7932083574001526,0.01581327817737738,0.019935844132060752
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 100, 'scale_pos_weight': 1, 'subsample': 0.8}",562,0.7921383181984624,0.015824360157062085,0.01997676389781393
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 100, 'scale_pos_weight': 1, 'subsample': 1.0}",879,0.7897784911998639,0.014430813063455825,0.0182719752743987
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 100, 'scale_pos_weight': 5, 'subsample': 0.6}",608,0.7918250033973777,0.01592207720464958,0.020108075820206295
